image,query,num_bbox
image_1.jpg,A dog are standing in a field of yellow flowers.,1
image_3.jpg,A woman is crossing the street while a silver van is stopped at the crosswalk.,2
sa_151.jpg,A basket of Christmas cookies with a reindeer and a house design.,2
sa_156.jpg,A group of tents set up in a field.,1
sa_246.jpg,A market scene with red tents and various items for sale.,24
sa_290.jpg,A car parked on the street with a tree in the background.,1
sa_297.jpg,A green floor in a warehouse with a blue door and a green light.,1
sa_362.jpg,A large white boat with a green and white flag on the front.,1
sa_468.jpg,A large white building with a clock tower and palm trees in the background.,1
sa_537.jpg,A train on the tracks.,1
sa_620.jpg,A man wearing a black cap with a white logo on it.,1
sa_703.jpg,A group of people standing on a wooden dock near a river.,14
sa_866.jpg,A beach with several lounge chairs.,12
sa_942.jpg,A large stadium with a cloudy sky above it.,4
sa_993.jpg,A person wearing a hat and holding a bundle of grass.,1
sa_1155.jpg,A group of boats docked in a marina.,6
sa_1242.jpg,A group of people jump from a wooden pier over the water to the sea.,7
sa_1361.jpg,A boat on the water.,1
sa_1366.jpg,"A person with a black shirt, blue jeans, holding a white goodies bag and carrying a black hand bag standing in front of a Maryland pavilion at an event.",3
sa_1071.jpg,Two people walking and passing by a purple umbrella tent and blue motorcyle is in the background.,4
sa_1700.jpg,A large ship with a red hull and a crane in the background. A person is sitting near the ship on a brick.,2
sa_1707.jpg,"A building with a red sign that says ""Bar Grill"" and ""COURKES"". A group of people is chitchatting at the front of the building.",3
sa_1865.jpg,"A street scene with a row of houses, each with a different color and design around with pottted plants. There is some chairs and a bench in between the potted plant.",7
sa_1997.jpg,A person changing a tire on a car with a jack.,2
sa_2040.jpg,A train station with turnstiles and signs indicating directions. A clock is hanging to show time. A security guard is walking around to ensure safetyness. ,6
sa_2091.jpg,A man in a black tank top and blue jeans is crouching down near the water.,1
sa_2118.jpg,A can of Tatra beer with a mountain design on it. It locate on a table. The can come with a human sign as their branding.,3
sa_2164.jpg,A group of fireman and police standing on a street with a fire truck in the background managing an accident.,8
sa_2274.jpg,A white scooter parked on a street with two potted plant next to it.,4
sa_2357.jpg,A row of houses with a church steeple in the background. One green boat and one red boat is on the water.,2
sa_2386.jpg,A group of boats docked in a marina while a group of bird swimming on the water.,13
sa_2421.jpg,A police officer is in the background and a white van is in the background.,2
sa_2502.jpg,"A street scene with a red double-decker bus, a large building with columns and a dome, and a clock tower in the background.",3
sa_2505.jpg,A street scene with a pedestrian crossing the street and a car parked on the side of the road.,12
sa_2579.jpg,A person in a yellow jacket and black pants wearing skis is standing on a snowy surface.,3
sa_2615.jpg,A mountain landscape with a building on a hillside. there is 3 person standing at the conner of the hillside.,3
sa_2736.jpg,"A statue of a man holding a book, with a large sculpture behind it. two person is stting behind the statue.",1
sa_2853.jpg,"A cable car with a bald eagle painted on it, with a mountain in the background.",4
sa_2882.jpg,A group of people standing on a sidewalk with a building in the background.,24
sa_3052.jpg,"A market scene with people shopping for produce, including a woman in a white shirt and jeans.",9
sa_3055.jpg,A group of people walking on a cobblestone street with a stone building in the background.,7
sa_3261.jpg,A group of boats docked at a marina with a city skyline in the background.,4
sa_3339.jpg,A woman in an orange shirt holding a phone with a green screen.,1
sa_3345.jpg,Two bird flying in the sky. A bench under the tree in a historical place.,3
sa_3433.jpg,A street scene with parked cars and a fire hydrant is at the walkway of the building.,10
sa_3448.jpg,"Two person is talking in a hall, one of them is holding his smartphone.",3
sa_3517.jpg,A table with various offerings and people in the background.,18
sa_3841.jpg,"A market scene with people shopping for meat, including a woman in a black shirt and blue shorts.",1
sa_3890.jpg,A group of people bungee jumping off a bridge.,2
sa_3919.jpg,"A group of people standing at a bus stop, including two person wearing a backpack and one carrying handbag",6
sa_3965.jpg,A large yellow building with a fountain in the foreground and people walking in the background.,12
sa_4025.jpg,"A bustling city street with a Ferris wheel in the background. Cars is on the road, A group of people is walking at the walkside. ",12
sa_4059.jpg,"A display case filled with various phone cases and accessories, including the red phone case at the bottom of the shelf.",1
sa_4088.jpg,"A man in a white hat and white pants is holding a shovel, with a yellow wheelbarrow and a person in a red shirt in the background.",2
